,Date_Close,Date_Open,Date_Previews,Intermission,Market,Prod_Type,Run_Time_Minutes,Run_Time_String,Run_Type,Show_Name,Show_Type,Theatre,Theatre_Address
0,2019-01-27,2018-11-04,,,Broadway,Premiere Production,,,Limited Run,American Son,, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule  Before 11/4: Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm  After 11/4: Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
1,,,,,Broadway,Premiere Production,,,Unknown,An Enemy of the People,Play,,
2,2018-07-15,2018-03-25,,2,Broadway,Revival Production,,Part 1,Limited Run,Angels in America,Play, Neil Simon Theatre,"         Neil Simon Theatre (New York, NY) 250 W. 52nd St. Seating Chart   Schedule   Running Time: Part 1: 3 hrs & 30 mins; Part 2: 4 hrs Wednesdays: 1:00pm (Part 1) and 7:00pm (Part 2) Thursdays: 7:00pm (Part 1) Fridays: 7:00pm (Part 2) Saturdays: 1:00pm (Part 1) and 7:00pm (Part 2) Sundays: 2:00pm (Part 1 and 2 alternate) "
3,,,,,Broadway,Original Production Production,,,Unknown,August Rush,Musical,,
4,,,,,Broadway,Original Production Production,,,Unknown,Beetlejuice,Musical,,
5,2018-11-18,2018-09-25,,1,Broadway,Premiere Production,140.0,"Two hours and 20 minutes, with one ",Limited Run,Bernhardt/Hamlet,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule   Running Time: Two hours and 20 minutes, with one intermission Schedule varies. Please check official website for up-to-date information. "
6,2018-09-16,2018-04-12,,1,Broadway,Revival Production,155.0,"Two hours and 35 minutes, with one ",Open Run,Carousel,Musical, Imperial Theatre,"         Imperial Theatre (Broadway) (New York, NY) 249 West 45th St. Seating Chart   Schedule   Running Time: Two hours and 35 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00 and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
7,,,,,Broadway,Revival Production,,,Unknown,Chess,Musical,,
8,2018-05-27,2018-04-11,,1,Broadway,Revival Production,140.0,"Two hours and 20 minutes, with one ",Open Run,Children of a Lesser God,Play, Studio 54,"         Studio 54 (New York, NY) 254 West 54th St. Seating Chart   Schedule   Running Time: Two hours and 20 minutes, with one intermission Tuesdays: 8:00pm Wednesdays: 2:00 and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
9,,,,,Broadway,Original Production Production,,,Unknown,Clueless,Musical,,
10,,,,,Broadway,Revival Production,,,Unknown,Crazy for You,Musical,,
11,,,,,Broadway,Original Production Production,,,Unknown,Diana,Musical,,
12,,,,,Broadway,Original Production Production,,,Unknown,Dog Day Afternoon,Play,,
13,,,,,Broadway,Revival Production,,,Open Run,Dreamgirls,Musical,,
14,2018-07-01,2018-03-15,,1,Broadway,Premiere Production,140.0,"Two hours and 20 minutes, with one ",Open Run,Escape to Margaritaville,Musical, Marquis Theatre,"         Marquis Theatre (New York, NY) 1535 Broadway Seating Chart   Schedule   Running Time: Two hours and 20 minutes, with one intermission Tuesdays: 7:30pm Wednesdays: 7:30pm Thursdays: 7:30pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm and 7:30pm "
15,,,,,Broadway,Original Production Production,,,Unknown,Fingersmith,Play,,
16,,2018-03-22,,1,Broadway,Original Production Production,150.0,"Two hours and 30 minutes, with one ",Open Run,Frozen,Musical, St. James Theatre,"         St. James Theatre (Broadway) (New York, NY) 246 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 1:00 and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
17,2018-09-16,2018-08-13,,1,Broadway,Premiere Production,145.0,"Two hours and 25 minutes, with one ",Open Run,Gettin' the Band Back Together,Musical, Belasco Theatre,"         Belasco Theatre (New York, NY) 111 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:30pm and 7:30pm "
18,,,,,Broadway,Premiere Production,,,Open Run,Half Time,Musical,,
19,,2018-04-22,,1,Broadway,Premiere Production,,Part 1,Open Run,Harry Potter and the Cursed Child,Play, Lyric Theatre,"         Lyric Theatre (Broadway) (New York, NY) 214 W. 42nd St. Seating Chart   Schedule   Running Time: Part 1: 2 hrs & 40 mins; Part 2: 2 hrs & 35 mins Preview schedule differs. Schedule beginning April 22: Wednesdays: 2:00pm (Part 1) and 7:30pm (Part 2) Thursdays: 7:30pm (Part 1) Fridays: 7:30pm (Part 2) Saturdays: 2:00pm (Part 1) and 7:30pm (Part 2) Sundays: 2:00pm (Part 1) and 7:30pm (Part 2) "
20,,2018-07-26,,,Broadway,Premiere Production,130.0,"Two hours and 10 minutes, with one ",Open Run,Head Over Heels,Musical, Hudson Theatre,"         Hudson Theatre (Broadway) (New York, NY) 141 W. 44th St. Seating Chart   Schedule   Running Time: Two hours and 10 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
21,,,,,Broadway,Original Production Production,,,Unknown,Heartbreak Hotel,Musical,,
22,2018-03-04,2018-01-11,,,Broadway,Premiere Production,,,Limited Run,John Lithgow: Stories By Heart,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule  Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
23,,2018-11-08,,,Broadway,Premiere Production,,,Open Run,King Kong,Musical, Broadway Theatre,"         Broadway Theatre (Broadway) (New York, NY) 1681 Broadway Seating Chart   Schedule  Preview schedule varies. Please check official website for up-to-date information. Beginning 11/13: Tuesdays: 7:00PM Wednesdays: 2:00PM & 8:00PM Thursdays: 7:00PM Fridays: 8:00PM Saturdays: 2:00PM & 8:00PM Sundays: 3:00PM "
24,2018-05-13,2018-03-26,,1,Broadway,Production Production,145.0,"Two hours and 25 minutes, with one ",Limited Run,Lobby Hero,Play, Hayes Theatre,"         Hayes Theatre (New York, NY) 240 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
25,,2018-04-08,,1,Broadway,Original Production Production,150.0,"Two hours and 30 minutes, with one ",Open Run,Mean Girls,Musical, August Wilson Theatre,"         August Wilson Theatre (New York, NY) 245 W. 52nd St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Before Tuesday, Sept. 25: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm Beginning Tuesday, Sept. 25: Tuesdays: 7:00pm Wednesdays: 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm and 7:30pm "
26,,,,,Broadway,Original Production Production,,,Open Run,Monsoon Wedding,Musical,,
27,,2018-04-19,,1,Broadway,Production Production,175.0,"Two hours and 55 minutes, with one ",Open Run,My Fair Lady,Musical, Vivian Beaumont Theatre,"         Vivian Beaumont Theatre (New York, NY) 150 West 65th St. at Broadway Seating Chart   Schedule   Running Time: Two hours and 55 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
28,,2018-12-06,2018-11-10,,Broadway,Premiere Production,120.0,"Two hours, with no ",Open Run,Network,, Cort Theatre,"         Cort Theatre (Broadway) (New York, NY) 138 West 48th St. Seating Chart   Schedule   Running Time: Two hours, with no intermission Preview schedule varies. Please check official website for up-to-date information.  After 12/6: Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 7:00pm Saturdays: 2:00pm and 7:00pm Sundays: 3:00pm "
29,,,2018-11-10,,Broadway,Revival Production,,,Unknown,Pal Joey,Musical,,
30,,2018-08-16,,1,Broadway,Original Production Production,150.0,"2 hours, 30 mins, with one 15-min ",Limited Run,Pretty Woman,Musical, Nederlander Theatre,"         Nederlander Theatre (New York, NY) 208 W. 41st St. Seating Chart   Schedule   Running Time: 2 hours, 30 mins, with one 15-min intermission Tuesdays: 7:00pm Wednesdays: 2:00pm & 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm & 8:00pm Sundays: 3:00pm "
31,2018-04-29,2018-03-20,,1,Broadway,Original Production Production,135.0,"Two hours and 15 minutes, with one ",Limited Run,Rocktopia,Musical, Broadway Theatre,"         Broadway Theatre (Broadway) (New York, NY) 1681 Broadway Seating Chart   Schedule   Running Time: Two hours and 15 minutes, with one intermission Schedule varies. Please check official website for up-to-date information. "
32,2018-06-10,2018-04-25,,1,Broadway,Revival Production,165.0,"Two hours and 45 minutes, with one ",Limited Run,Saint Joan,Play, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule   Running Time: Two hours and 45 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
33,2018-09-09,2018-07-23,,,Broadway,Original Production Production,13.0,One hour and 30 minutes,Unknown,Straight White Men,Play, Hayes Theatre,"         Hayes Theatre (New York, NY) 240 West 44th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
34,,2018-04-23,,,Broadway,Original Production Production,105.0,"One hours and 45 minutes, with no ",Open Run,Summer: The Donna Summer Musical,Musical, Lunt-Fontanne Theatre,"         Lunt-Fontanne Theatre (New York, NY) 205 West 46th St. Seating Chart   Schedule   Running Time: One hours and 45 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
35,2018-08-12,2018-05-31,,,Broadway,Revival Production,110.0,"One hour and 50 minutes, with no ",Limited Run,The Boys in the Band,Play, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule   Running Time: One hour and 50 minutes, with no intermission Mondays: 8:00pm Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm "
36,,2018-12-03,2018-11-01,1,Broadway,Original Production Production,,,Open Run,The Cher Show,Musical, Neil Simon Theatre,"         Neil Simon Theatre (New York, NY) 250 W. 52nd St. Seating Chart   Schedule  Preview schedule varies. Please check official website for up-to-date information. Beginning 12/5: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
37,,,2018-11-01,,Broadway,Original Production Production,,,Unknown,The Devil Wears Prada,Musical,,
38,,2018-10-21,,1,Broadway,Original Production Production,195.0,"3 hours 15mins, with 1 ",Open Run,The Ferryman,Play, Bernard B. Jacobs Theatre,"         Bernard B. Jacobs Theatre (New York, NY) 242 West 45th St. Seating Chart   Schedule   Running Time: 3 hours 15mins, with 1 intermission & 1 5min pause Schedule varies. Please check official website for up-to-date information.  "
39,,,,,Broadway,Premiere Production,,,Open Run,The Flamingo Kid,Musical,,
40,2018-07-01,2018-04-26,,2,Broadway,Revival Production,230.0,"Three hours and 50 minutes, with two ",Limited Run,The Iceman Cometh,Play, Bernard B. Jacobs Theatre,"         Bernard B. Jacobs Theatre (New York, NY) 242 West 45th St. Seating Chart   Schedule   Running Time: Three hours and 50 minutes, with two intermissions Preview schedule varies. Check official website for up-to-date information. After April 30: Tuesdays: 7:00pm Wednesdays: 7:00pm Thursdays: 7:00pm Fridays: 7:00pm Saturdays: 1:00pm and 7:30pm Sundays: 2:00pm  "
41,,,,,Broadway,Original Production Production,,,Unknown,The Kid Stays in the Picture,Play,,
42,,,,,Broadway,Original Production Production,,,Unknown,The Late Great Me: An Evening With Alan Jay Lerner,Musical,,
43,2019-01-13,2018-10-18,,,Broadway,Original Production Production,,,Limited Run,The Lifespan of a Fact,Play, Studio 54,"         Studio 54 (New York, NY) 254 West 54th St. Seating Chart   Schedule  Schedule varies. Please check official website for up-to-date information. "
44,,,,,Broadway,Original Production Production,,,Open Run,The Minutes,Play,,
45,2018-11-11,2018-09-27,,1,Broadway,Premiere Production,135.0,"Two hours and 15 minutes, with one ",Limited Run,The Nap,Play, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule   Running Time: Two hours and 15 minutes, with one intermission Preview schedule varies. Please check official website for up-to-date information. Beginning Friday, Sept.28: Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
46,,2018-11-15,,1,Broadway,Original Production Production,145.0,"2 hours, 25 minutes, one 15-minute ",Open Run,The Prom,Musical, Longacre Theatre,"         Longacre Theatre (New York, NY) 220 West 48th Street Seating Chart   Schedule   Running Time: 2 hours, 25 minutes, one 15-minute intermission Preview schedule varies. Please check official website for up-to-date information. Beginning 11/27: Tuesdays: 7:00om Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
47,2018-12-31,,,,Broadway,Revival Production,,,Open Run,The Secret Garden,Musical,,
48,,,,,Broadway,Original Production Production,,,Unknown,The Sting,Musical,,
49,2019-01-27,2018-10-25,,,Broadway,Premiere Production,,,Limited Run,The Waverly Gallery,, John Golden Theatre,"         John Golden Theatre (New York, NY) 252 West 45th St. Seating Chart   Schedule  Preview schedule varies. Please check official website for up-to-date information.  Beginning 10/26: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
50,2018-06-24,2018-03-29,,,Broadway,Premiere Production,105.0,"One hour and 45 minutes, with no ",Open Run,Three Tall Women,Play, John Golden Theatre,"         John Golden Theatre (New York, NY) 252 West 45th St. Seating Chart   Schedule   Running Time: One hour and 45 minutes, with no intermission Mondays: 8:00pm Tuesdays: 8:00pm Wednesdays: 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm "
51,,2018-12-13,2018-11-01,,Broadway,Original Production Production,,,Open Run,To Kill A Mockingbird,Play, Shubert Theatre,"         Shubert Theatre (Broadway) (New York, NY) 225 West 44th St. Seating Chart   Schedule  Schedule varies. Please check official website for up-to-date information. "
52,2019-02-24,2018-11-01,,1,Broadway,Revival Production,160.0,"Two hours and 40 minutes, with 1 ",Limited Run,Torch Song,Play, Hayes Theatre,"         Hayes Theatre (New York, NY) 240 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 40 minutes, with 1 intermission Before 11/1: Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm  After 11/1: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 7:30pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
53,2018-06-17,2018-04-24,,1,Broadway,Revival Production,150.0,"Two hours and 30 minutes, with one ",Limited Run,Travesties,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Schedule varies. Check official website for up-to-date information. "
54,,2019-01-24,,,Broadway,Revival Production,,,Limited Run,True West,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule  Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
55,2017-10-08,2017-06-22,,,Broadway,Premiere Production,,,Limited Run,1984,Play, Hudson Theatre,"         Hudson Theatre (Broadway) (New York, NY) 141 W. 44th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
56,2017-09-24,2017-04-27,,,Broadway,Premiere Production,90.0,"One hour and 30 minutes, with no ",Limited Run,"A Doll's House, Part 2",Play, John Golden Theatre,"         John Golden Theatre (New York, NY) 252 West 45th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
57,2017-05-21,2017-04-03,,,Broadway,Premiere Production,,,Open Run,Amelie,Musical, Walter Kerr Theatre,"         Walter Kerr Theatre (New York, NY) 219 West 48th St. Seating Chart   Schedule  Tuesdays: 7:30pm Wednesdays: 2:00pm and 7:30pm Thursdays: 7:30pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
58,,2017-04-24,,1,Broadway,Premiere Production,145.0,"Two hours and 25 minutes, with one ",Open Run,Anastasia,Musical, Broadhurst Theatre,"         Broadhurst Theatre (New York, NY) 235 W. 44th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:30pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
59,2017-09-17,2017-04-26,,1,Broadway,Premiere Production,150.0,"Two hours and 30 minutes, with one ",Open Run,Bandstand,Musical, Bernard B. Jacobs Theatre,"         Bernard B. Jacobs Theatre (New York, NY) 242 West 45th St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
60,2018-01-14,2017-04-23,,,Broadway,Premiere Production,,,Open Run,Charlie and the Chocolate Factory,Musical, Lunt-Fontanne Theatre,"         Lunt-Fontanne Theatre (New York, NY) 205 West 46th St. Seating Chart   Schedule  Mondays: 7:00pm Tuesdays: 7:00pm Wednesdays: 1:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 1:00pm and 6:30pm "
61,,2017-03-12,,,Broadway,Premiere Production,100.0,"One hour and 40 minutes, with no ",Open Run,Come From Away,Musical, Gerald Schoenfeld Theatre,"         Gerald Schoenfeld Theatre (New York, NY) 236 West 45th St. Seating Chart   Schedule   Running Time: One hour and 40 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
62,2018-03-25,2017-12-17,,,Broadway,Original Production Production,,,Limited Run,Farinelli and the King,Play, Belasco Theatre,"         Belasco Theatre (New York, NY) 111 West 44th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
63,2017-09-17,2017-04-17,,,Broadway,Original Production Production,,,Open Run,Groundhog Day,Musical, August Wilson Theatre,"         August Wilson Theatre (New York, NY) 245 W. 52nd St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
64,2018-08-25,2017-04-20,,1,Broadway,Revival Production,155.0,"Two hours and 35 minutes, with one ",Open Run,"Hello, Dolly!",Musical, Shubert Theatre,"         Shubert Theatre (Broadway) (New York, NY) 225 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 35 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
65,2017-12-30,2017-11-21,2017-11-17,,Broadway,Original Production Production,,,Limited Run,Home for the Holidays,Musical, August Wilson Theatre,"         August Wilson Theatre (New York, NY) 245 W. 52nd St. Seating Chart   Schedule  Mondays: 7:00pm Tuesdays: 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 1:00pm and 5:00pm "
66,2017-08-06,2017-04-18,,,Broadway,Premiere Production,90.0,"One hour and 30 minutes, with no ",Open Run,Indecent,Play, Cort Theatre,"         Cort Theatre (Broadway) (New York, NY) 138 West 48th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
67,2017-03-12,2017-01-19,,1,Broadway,Revival Production,145.0,"Two hours and 25 minutes, with one ",Limited Run,Jitney,Play, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
68,2018-01-07,2017-11-02,,,Broadway,Premiere Production,,,Limited Run,Junk,Play, Vivian Beaumont Theatre,"         Vivian Beaumont Theatre (New York, NY) 150 West 65th St. at Broadway Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
69,2018-02-25,2017-11-15,,,Broadway,Revival Production,,,Limited Run,Latin History For Morons,Play, Studio 54,"         Studio 54 (New York, NY) 254 West 54th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 6:30pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
70,2017-12-17,2017-10-26,,,Broadway,Revival Production,,,Limited Run,M. Butterfly,Play, Cort Theatre,"         Cort Theatre (Broadway) (New York, NY) 138 West 48th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:30pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
71,2017-08-27,2017-06-29,,,Broadway,Premiere Production,,,Limited Run,Marvin's Room,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
72,2018-01-21,2017-11-29,2017-11-01,,Broadway,Premiere Production,13.0,One hour and 30 minutes Preview and holiday schedule varies. Check official site for most up-to-date performances days and times. Get Show News + Discounts Video Preview Photo Preview Enlarge Map Meteor Shower Production Information Previews,Limited Run,Meteor Shower,Play, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes Preview and holiday schedule varies. Check official site for most up-to-date performances days and times.  "
73,2018-01-14,2017-03-23,,1,Broadway,Revival Production,160.0,"Two hours and 40 minutes, with one ",Limited Run,Miss Saigon,Musical, Broadway Theatre,"         Broadway Theatre (Broadway) (New York, NY) 1681 Broadway Seating Chart   Schedule   Running Time: Two hours and 40 minutes, with one intermission Mondays: 8:00pm Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 4:00pm "
74,,2017-12-03,2017-11-09,,Broadway,Revival Production,90.0,"One hour and 30 minutes, with no ",Open Run,Once On This Island,Musical, Circle in the Square,"         Circle in the Square (Broadway) (New York, NY) 1633 Broadway at 50th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Mondays: 8:00pm Tuesdays: 7:00pm Wednesdays: 2:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm and 7:30pm "
75,2017-07-16,2017-04-13,,2,Broadway,Premiere Production,175.0,"Two hours and 55 minutes, with two ",Limited Run,Oslo,Play, Vivian Beaumont Theatre,"         Vivian Beaumont Theatre (New York, NY) 150 West 65th St. at Broadway Seating Chart   Schedule   Running Time: Two hours and 55 minutes, with two intermissions Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 7:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
76,2017-07-02,2017-04-05,,,Broadway,Revival Production,,,Limited Run,Present Laughter,Play, St. James Theatre,"         St. James Theatre (Broadway) (New York, NY) 246 West 44th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
77,2017-10-29,2017-08-24,,,Broadway,Premiere Production,,,Limited Run,Prince of Broadway,Musical, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
78,2017-04-23,2017-03-02,,1,Broadway,Premiere Production,135.0,"Two hours and 15 minutes, with one ",Limited Run,Significant Other,Play, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule   Running Time: Two hours and 15 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:30pm and 8:00pm Sundays: 2:00pm and 7:00pm "
79,2017-06-18,2017-04-25,,,Broadway,Revival Production,90.0,"One hour and 30 minutes, with no ",Limited Run,Six Degrees of Separation,Play, Ethel Barrymore Theatre,"         Ethel Barrymore Theatre (New York, NY) 243 West 47th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Preview schedule varies. Check official website for up-to-date performance dates and times. Beginning April 25th, 2017: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
